,contentId,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-1753606726398516179,-1753606726398516179,LukeW | Obvious Always Wins,Firefox edges out Microsoft globally for first time in browser wars | StatCounter Global Stats,Threaded messaging is coming to Slack,Why porting an iOS design to Android will not work,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7"
-1734960446580993454,-1734960446580993454,My Approach to Mobile Accessibility Testing - Ministry of Testing,5 Asian Trends for 2017,What DeepMind brings to Alphabet,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR","Google tests a more personalized version of its virtual assistant, Google Now"
-1730766821655383888,-1730766821655383888,"Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'","Blockchain open sources Thunder network, paving the way for instant bitcoin transactions",World's Fastest Growing Open Source Platform Pushes Out New Release,When will AI and NLP actually turn Siri into your best friend?,"Celular se torna principal meio de acesso à internet nos lares, diz IBGE"
-1687864471892802710,-1687864471892802710,"[Tools] Free Business Video Conference with Screen Sharing, Permanent Room",[Videos] This fake TED Talk about nothing might be the best you've ever seen,[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera,[Books] Biblioteca FIXE: Sugestões de Leitura,Sony Smart Tennis Sensor for Tennis Rackets
-1683903891018782242,-1683903891018782242,AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),Achievement Unlocked : AWS Certified Solutions Architect Professional,UE não dá sossego ao Google. Novo alvo? O AdSense
-1676378465482420452,-1676378465482420452,Visa lança desafio para startups de tecnologia - Startupi,Digital Leadership Is Not an Optional Part of Being a CEO,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,IBM makes a big shift into cognitive computing,Mobile-Only Challenger Banks Are Shaping the Future of Financial Services Industry
-1672166631728511207,-1672166631728511207,Introducing JQL: A Query Language for Analytics,The gig economy as a driver of innovation,"Facebook apresenta o Creative Hub, atualiza Canvas e SlideShow",Skill swarms - a new way to share expertise and work smarter together - Skillhive,How to approach machine learning as a non-technical person
-1672165618620086344,-1672165618620086344,3M e o perfil intraempreendedor | Endeavor Brasil,6 New Tech Gadgets That Will Simplify Your Life in 2017,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi
-1668558678125613329,-1668558678125613329,Home-Made Twitter and Gmail Notifications with PHP and Arduino,Testing a new Drupal 8 installation with 2 Docker commands,Lady Gaga's startup Backplane burns out and sells assets,Evernote anuncia integração com Google Drive | Google Discovery,"Finding an apartment to rent is as easy as hitting ""Send"" with Trulia's new Facebook Messenger bot"
-1663441888197894674,-1663441888197894674,"Forget Wallets, Check out This Serious FinTech Product Built in India: ZestMoney for Instant Credit",Bitcoin In The Time Of Negative Interest Rates,Sem Parar vs Conectcar - DanBP.org,You won't recognize the new world of digital payments without this report,American Express ... and the Book of Mormon - Chris Skinner's blog
-1662763254714212341,-1662763254714212341,"How Reporters Pulled Off the Panama Papers, the Biggest Leak in Whistleblower History","Trabalhando com dinheiro no Java, uma visão pragmática da nova money-api",Sul dos EUA descobre consequências econômicas da homofobia | EXAME.com,Game of Loans,Facebook at Work pushed to 'later this year'
-1654063646246197191,-1654063646246197191,Building a technical career path at Spotify,An operating model for company-wide agile development,An operating model for company-wide agile development,Embracing Agile,Is FinTech Forcing Banking to a Tipping Point?
-1637159115260338032,-1637159115260338032,"Google's AI engine is reading 2,865 romance novels to be more conversational","Feeding 10 billion people with cloud computing: Land O'Lakes, Inc. moves to Google Cloud Platform",The Secret History of Agile Innovation,"Franz - from idea to 10,000 daily active users in 26 days - Meet Franz",Indian outsourcing specialists must reboot their strategies
-1634742667970363668,-1634742667970363668,Practical VPC Design - AWS Startup Collection,Home-Made Twitter and Gmail Notifications with PHP and Arduino,Testing a new Drupal 8 installation with 2 Docker commands,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Firebase and Google Cloud: better together
-1633984990770981161,-1633984990770981161,Críticas de design: dizendo as coisas que precisam ser ditas,Request lesson : How and when to use はず(=hazu) | Maggie Sensei,Prototyping across borders - From Tulsa to Brazil - +Acumen,Chatbots: Are they better without the chat?,O tênue equilíbrio da equipe que desenha produtos digitais
-1630229587164086350,-1630229587164086350,State of Drupal 2016 survey | Dries Buytaert,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Johnson & Johnson comprará grupo suíço por US$ 30 bi,"Thunder, a Drupal distribution for publishers"
-1625815289565836489,-1625815289565836489,Why The New Chatbot Invasion Is So Different From Its Predecessors,To bot or not to bot,What to Expect at WWDC 2016,Ordering coffee in Italy: the 10 commandments,Alecrim/AlecrimCoreData
-1625217607550912638,-1625217607550912638,To Use Physical Or To Use Virtual: That is the container deployment question,Uso de API's no mercado de serviços financeiros,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Kubernetes,LOGOBR School | Behance Reviews Campinas 2016
-1622037268576555626,-1622037268576555626,Don't Waste Your Time on Networking Events,Sem Parar vs Conectcar - DanBP.org,"Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up",Bitcoin In The Time Of Negative Interest Rates,Nubank pode fechar as portas se BC confirmar mudança amanhã
-1617279065634731389,-1617279065634731389,Google Cloud and Autodesk enable 10x improvement in media rendering efficiency,What Color is Your Function?,Nashorn: JavaScript made great in Java 8,Tech in Brazil is booming despite the country's political troubles,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!"
-1609424513692297222,-1609424513692297222,Performance Testing in a Nutshell,The Secret History of Agile Innovation,Scientists discover potentially habitable planets,Jeff Seguros: SEGUROS E GAMES,The Real Lesson for Data Science That is Demonstrated by Palantir's Struggles
-1606909838151129701,-1606909838151129701,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Digital Leadership Is Not an Optional Part of Being a CEO,"The new, scary face of auto insurance",Mobile Time
-1596335233529956315,-1596335233529956315,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Dries Buytaert: Advancing Drupal's web services,Why It's Time to Take Google's PC Operating System Seriously,Firebase and Google Cloud: better together,Artificial intelligence is hard to see
-1590585250246572231,-1590585250246572231,LukeW | Obvious Always Wins,"Apple launches Safari Technology Preview, a browser for developers including experimental web features","Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",How Apple Keyboards Lost a Logo and Windows PCs Gained One,Adulterated Objective-C
-1573329182923097618,-1573329182923097618,How Etsy Does Continuous Integration for Mobile Apps,The Continuous Delivery Maturity Model,Automation and anxiety,The Internet of Things is looking for its VisiCalc,Using Honcho to Create a Multi-Process Docker Container
-1572252285162838958,-1572252285162838958,What's the Best Programming Language to Learn in 2017?,Discutindo Devops na Prática,Gartner: em 2020 não haverá mais aplicativos,Plano de Evolução - nível de qualidade equipe Java -,WORKPEDIA 2016
-1564468014116140117,-1564468014116140117,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),Achievement Unlocked : AWS Certified Solutions Architect Professional
-1556169727291354289,-1556169727291354289,Ray Kurzweil Predicts Three Technologies Will Define Our Future,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning",Google Calendar for Android can now find meeting times that work for everyone,"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds",What readers think about computer-generated texts
-1536771179525677307,-1536771179525677307,Infographic Dutch Fintech Scene - HollandFintech.com,Taco Bell chega ao Brasil no segundo semestre desse ano,Hero unveils a new home gadget to help you track and dispense pills,Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,Startup uses deep learning to let you shop for items by snapping photos
-1525688508571111688,-1525688508571111688,Especial: O papel dos grandes provedores de TI na Rio 2016,Google lança teclado virtual para iPhone com recursos de pesquisa | Google Discovery,Olhando para o futuro: 5 pontos de atenção,"Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery",Governo brasileiro cria manual para contratação de cloud
-1492913151930215984,-1492913151930215984,Stackdriver Trace for App Engine is GA; app latency has nowhere to hide,Vídeos de testes unitários em sistemas embarcados - Embarcados,3M e o perfil intraempreendedor | Endeavor Brasil,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,"Google Cloud Platform icons and sample architectural diagrams, for your designing pleasure"
-1492574794514500033,-1492574794514500033,"Machine Learning Can Identify Pixelated Faces, Researchers Show",My Top 9 Favorite Python Deep Learning Libraries - PyImageSearch,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",How I got into the top 15 of a Kaggle competition in 3 days: A Python Tutorial,"Miracles of Human Language: An Introduction to Linguistics - Universiteit Leiden, Meertens instituut (KNAW) | Coursera"
-1483274517395674620,-1483274517395674620,Adobe CQ/Adobe AEM,Configuring OSGi,Workspace Filter,How to Install and Use the Linux Bash Shell on Windows 10,AEM 6.1 Package Manager Metadata Files
-1480913447590268358,-1480913447590268358,What Millennials Want from a New Job,Tem hora certa pra sair do armário?,Developing Android unit and instrumentation tests - Tutorial,Google Cloud Platform for AWS Professionals,Seguradora aposta em inovação e criatividade para driblar a crise
-1473180765724334454,-1473180765724334454,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service,Digital Leadership Is Not an Optional Part of Being a CEO,IBM makes a big shift into cognitive computing,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Mobile-Only Challenger Banks Are Shaping the Future of Financial Services Industry
-1470592927114056630,-1470592927114056630,Campanha do Dicionário Houaiss pretende mudar a definição de família,"National Coming Out Day - Wikipedia, the free encyclopedia","No ""Altas Horas"", garoto filho de casal homoafetivo dá lição contra a homofobia",Brasileira do rúgbi é pedida em casamento durante premiação,Amor sem fronteiras: série de fotos retrata casais gays pelo mundo
-1453783314552286835,-1453783314552286835,Infrequently Noted,Chrome extension brings Medium's best feature to the whole Web,Google's official Project Wing logo revealed,"Google I/O: Expect A.I., virtual reality",Deck describing how MSFT plans to use Linkedin
-1452340812018195881,-1452340812018195881,Nintendo to Release Mini NES with 30 Pre-Loaded Games in November!,Elasticsearch: CSV exporter for Kibana Discover,Novo Honda Civic é eleito o carro mais seguro dos EUA,Gartner Reprint,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship
-1449104782233586994,-1449104782233586994,Whirlpool Vessi puts a microbrewery in your kitchen | News | Geek.com,"Facebook sends a loud message about Messenger bots, but will we hear it?",From Insight-as-a-Service to insightful applications,The gig economy as a driver of innovation,"When not to quit, according to the founder of an $11 billion startup that took a while to get off the ground"
-1444481301861872291,-1444481301861872291,MG promove até dia 15 conferência sobre diversidade sexual e cidadania LGBT,Saúde de homens gays e bi é foco de nova campanha do governo,Vídeo: IntraEmpreendedorismo como Atitude pelos Funcionários e Chefes!,"National Coming Out Day - Wikipedia, the free encyclopedia","""Não, você não aceita a homossexualidade ainda..."""
-1444385929353415304,-1444385929353415304,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Bridging the Communication Gap Between Developers and Architects - DaedTech,Notes on Reactive Programming Part I: The Reactive Landscape,The Hardest Part About Microservices: Your Data,Introduction to Spring REST Docs | Baeldung
-1443900796086927361,-1443900796086927361,Now we know how profitable Microsoft's cloud business is -and investors should be happy,The next stop on the road to revolution is ambient intelligence,Five things to include in your digital transformation playbook,CHATBOTS EXPLAINED: Why businesses should be paying attention to the chatbot revolution,How AWS came to be
-1429167743746492970,-1429167743746492970,"At eBay, Machine Learning is Driving Innovative New Approaches to Search Experiences",TPOT: A Python tool for automating data science,Machine Learning Is No Longer Just for Experts,Worldwide Ops in Minutes with DataStax & Cloud,Algorithms and architecture for job recommendations
-1425776303341065806,-1425776303341065806,Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi,Blaise Agüera y Arcas: How computers are learning to be creative,Why Deep Learning Is Suddenly Changing Your Life,"Bot do Facebook Messenger simula entrevista para o processo de ""3%""",Former NASA chief unveils $100 million neural chip maker KnuEdge
-1419188045265393093,-1419188045265393093,Introducing Cloud Spanner: a global database service for mission-critical applications,Para inovar é preciso mais do que boas ideias - Startupi,The Mobile Growth Stack: 2017 Edition - Mobile Growth Stack,Introducing Google Cloud Shell's new code editor,Top Programming Languages Trends: The Rise of Big Data
-1418355038507506357,-1418355038507506357,Hintjens.com,The new 64-bit Orange Pi is a quad-core computer for $20,"New functional programming language can generate C, Python code for apps",Elastic Stack 5.0.0 Released,Chrome OS now has Material Design for the desktop
-1415040208471067980,-1415040208471067980,"Google is discontinuing Google+ Hangouts On Air on September 12, pushes users to YouTube Live","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",The five phases of migrating to Google Cloud Platform,Curta do Google pode ser o primeiro filme em realidade virtual indicado ao Oscar,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing"
-1403735753867098241,-1403735753867098241,The emerging Darwinian approach to analytics and augmented intelligence,"Need Some AI? Yeah, There's a Marketplace for That",Google's Cloud Machine Learning service is now in public beta,Generative Models,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur
-1353560213232970946,-1353560213232970946,Facebook cria e-commerce para concorrer com eBay,Ibope revela lojas de e-commerce com maior recomendação no Brasil - B!T magazine,What Happens When No One and Everyone Owns a Product? - Built to Adapt,"Webinário gratuito ""Como analisar um AWR Report""",Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso
-1338957937839941365,-1338957937839941365,3M e o perfil intraempreendedor | Endeavor Brasil,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi,6 New Tech Gadgets That Will Simplify Your Life in 2017,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,SAMSUNG OCEAN - Novas turmas de treinamento de 2017 - Embarcados
-1313614305945895108,-1313614305945895108,How Green Was My Valley (1941),"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Joel on Software,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,To bot or not to bot
-1306208577536428610,-1306208577536428610,CNseg anuncia os finalistas da 6ª edição do Prêmio de Inovação em Seguros - Sonho Seguro,Making digital strategy a reality in insurance,Digital Leadership Is Not an Optional Part of Being a CEO,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Accenture and Adboe team on customer enegagement
-1297580205670251233,-1297580205670251233,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,9 Non-Threatening Leadership Strategies for Women,Jury finds Google's implementation of Java in Android was fair use,O dia em que tive mais medo de estar errada.,Google's cloud platform is now a force to be reckoned with
-1291869519847635026,-1291869519847635026,"Olhar Digital: Notícia: Testamos o HoloLens, os óculos do futuro da Microsoft",7 Tips to Create a Company Learning Culture like Google - Without Resources,Aurelia 1.0 is Here!!!,Creating Your Code Review Checklist - DaedTech,On DRY and the cost of wrongful abstractions
-1287202638861144684,-1287202638861144684,The need to lead in data and analytics,Global Data Bank é lançado internacionalmente com operação no Brasil,Mobile Time,Qualcomm Snapdragon 820 Deep Learning SDK Nudges Local Neural Nets Closer To Mainstream,The emerging Darwinian approach to analytics and augmented intelligence
-1259410223376598430,-1259410223376598430,Alibaba quebra recorde de vendas no Dia dos Solteiros - e-commerce,Taco Bell chega ao Brasil no segundo semestre desse ano,Startup uses deep learning to let you shop for items by snapping photos,Citroën lança e-commerce de carros,Portal Mercado & Consumo
-1255189867397298842,-1255189867397298842,Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,I've got standards - which one do you want? [UPDATE 5 APRIL 2016],Itaú é pioneiro do blockchain,Startup usa algoritmo e rede social para aprovar empréstimos | EXAME.com
-1254906787526072320,-1254906787526072320,"Feeding 10 billion people with cloud computing: Land O'Lakes, Inc. moves to Google Cloud Platform",Threaded messaging is coming to Slack,"Here's what Viv looks like, the next generation AI assistant built by Siri creator",Making open source data more available,The AI business landscape
-1251258405608426882,-1251258405608426882,WeChat's competitor to Slack has arrived,Dries Buytaert: Advancing Drupal's web services,Uber China will reportedly merge with archrival Didi Chuxing,"There will be a Drupal 9, and here is why",Artificial intelligence is hard to see
-1242702988593021334,-1242702988593021334,Google's new translation software is almost as good as human translators,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Microservices Architecture on Google App Engine,3M e o perfil intraempreendedor | Endeavor Brasil,Why Deep Learning Is Suddenly Changing Your Life
-1199490911632553070,-1199490911632553070,Deep Learning Demystified,Omnitone: Spatial audio on the web,"New functional programming language can generate C, Python code for apps",Introduction to Natural Language Processing - University of Michigan | Coursera,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8
-1196068832249300490,-1196068832249300490,What exactly is a design culture? ,O machismo também mora nos detalhes - Think Olga,Sete Reinos,"Inbox by Gmail: a better way to keep track of events, newsletters and links",A nova marca da HP foi criada (e rejeitada) 5 anos atrás
-1192619987285372590,-1192619987285372590,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Automation and anxiety,Are Chatbots Really The Future Of Web Design?,The Internet of Things is looking for its VisiCalc,Google connects BigQuery to Google Drive and Sheets
-1178371721262103855,-1178371721262103855,Lista tem 15 dicas para Google Docs; teste,O uso da vírgula e seus pré-requisitos - Português,Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Portugal runs for four days straight on renewable energy alone,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets
-1151034582628982912,-1151034582628982912,Java Collections Cheat Sheet,The five phases of migrating to Google Cloud Platform,Firefox edges out Microsoft globally for first time in browser wars | StatCounter Global Stats,8 things to expect from Google's biggest event of the year,Prototypal Object-Oriented Programming using JavaScript
-1129449063360470561,-1129449063360470561,Google Maps agora mostra se local tem entrada com acessibilidade | Google Discovery,New ways to keep data flowing between your apps and ours,Put a ring on it: three smart rings with plenty of beauty and brains,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017"
-1124738136890721085,-1124738136890721085,CSS Containment in Chrome 52 | Web Updates - Google Developers,Apple's secret strategy: Underpromise and overdeliver,Building an Angular 2 Application for Production,Leveling Up Your JavaScript -,Facebook testa dividir conteúdos da rede por temas
-1123543351704082417,-1123543351704082417,Saying �� to Allo and Duo: new apps for smart messaging and video calling,SIG Combibloc lança campanha para Américas e consolida sua proposta de valor,LukeW | Obvious Always Wins,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/",Unimart Shopping Campinas e Tetra Pak realizam Circuito da Reciclagem
-1119244241345534741,-1119244241345534741,Mastering Software Development in R · Simply Statistics,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",Lessons from Becoming a Data-Driven Organization,Probabilistic Programming
-1114438937697017987,-1114438937697017987,Deep learning software knows that a rose is a rose is a rosa rubiginosa,"Apple acquires Turi, a machine learning company","Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",Event Map For Google I/O 2016 Released,DeepMind moves to TensorFlow
-1111518890369033396,-1111518890369033396,Effective learning through code workshops | Box Blog,You don't talk about refactoring club,World's Fastest Growing Open Source Platform Pushes Out New Release,I Peeked Into My Node_Modules Directory And You Won't Believe What Happened Next - friendship .js,Prototypal Object-Oriented Programming using JavaScript
-1101832997669013246,-1101832997669013246,Andrew Ng: What AI Can and Can't Do,"Good riddance, gig economy: Uber, Ayn Rand and the awesome collapse of Silicon Valley's dream of destroying your job",Brazil's Bank Itaú Joins R3 Blockchain Consortium - CoinDesk,Failing model: Plastic Card + App and Card + Wallet Players?,Especial: 5 startups brasileiras que podem tornar-se Unicórnios
-1101361754763388054,-1101361754763388054,"9 trends you need to watch at CES 2017, from 'AI' assistants to 'AR' devices",A New Number Format for Computers Could Nuke Approximation Errors for Good,CSS Containment in Chrome 52 | Web Updates - Google Developers,Acquia Engage 2016: Day One,HHVM vs PHP 7 - The Competition Gets Closer - Kinsta
-1088742830039453732,-1088742830039453732,Five things to include in your digital transformation playbook,America's allies are preparing for a bumpy ride,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,How AWS came to be,Now we know how profitable Microsoft's cloud business is -and investors should be happy
-1073835383506921412,-1073835383506921412,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Introducing Mini Courses with MS Chatbots,19 Tips For Everyday Git Use,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,"Lava-louças Brastemp Ative! 8 Serviços Blf08abana 110v - R$ 800,00"
-1072987232233605661,-1072987232233605661,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,3M e o perfil intraempreendedor | Endeavor Brasil,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,6 New Tech Gadgets That Will Simplify Your Life in 2017,Kickstarter 3D printer will print circuit boards as part of your designs
-1068603220639552685,-1068603220639552685,[Framework] Lean IT Governance,[Tools] XMind Plus - Last Chance for students' 1$ gift,"[Techniques] Será que você está fazendo ""brainstorm"" da forma correta? - Blog Locaweb - Notícias sobre tecnologia, programação e muito mais.",The omnichannel customer experience is poised to take off in regulated industries,[Tools] See how the JIRA Portfolio team uses JIRA Portfolio
-1055630159212837930,-1055630159212837930,Artificial Intelligence's White Guy Problem,An MIT Algorithm Predicts the Future by Watching TV,Artificial intelligence is changing SEO faster than you think,Former NASA chief unveils $100 million neural chip maker KnuEdge,Blaise Agüera y Arcas: How computers are learning to be creative
-1046621686880462790,-1046621686880462790,O Empreendedorismo no Mercado de Seguros,Taco Bell chega ao Brasil no segundo semestre desse ano,Time Pressure: Behavioral Science Considerations for Mobile Marketing,Democratizing AI,Principais startups do ramo de saúde criam o 1o Cluster de Saúde Digital do Brasil | EXAME.com
-1039912738963181810,-1039912738963181810,LukeW | Obvious Always Wins,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Adulterated Objective-C,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",Machine Learning is Fun! Part 2
-1033806831489252007,-1033806831489252007,The Progress of Web Apps - On the Edge,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",WebAIM: WebAIM's WCAG 2.0 Checklist - for HTML documents,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery,Características de Arquiteturas Evolutivas
-1022885988494278200,-1022885988494278200,Learn TypeScript in 30 Minutes,"Finally, CSS In JavaScript! Meet CSSX - Smashing Magazine",15 Interesting JavaScript and CSS Libraries for September 2016,O homofóbico dentro de cada um,"Mesmo sem apoio, Parada LGBT de Campinas arrasta multidão pelas ruas"
-1021685224930603833,-1021685224930603833,Carros conectados impulsionarão diferentes indústrias | Sonho Seguro,Buscas on-line por carros têm expansão de 43% no 1º trimestre,Why Introverts Are Better at Sales Than Extroverts,Honda: mulheres já respondem por 50% das vendas via consórcio,Honda e Softbank desenvolverão sistema de IA para ajudar os motoristas
-1006791494035379303,-1006791494035379303,Production Ready Jenkins 2.0 in Two Steps with Docker,Finding The Meaning Of Artificial Intelligence At Google I/O,"Inbox by Gmail ganha integração com Trello, GitHub e Google Alerts | Google Discovery","Google launches Springboard, an AI-powered assistant for its enterprise customers",The return of the machinery question
-998818216447049475,-998818216447049475,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Introducing the Open Images Dataset,Introducing Mini Courses with MS Chatbots,"How to Build and Publish ES6 Modules Today, with Babel and Rollup","Facebook sends a loud message about Messenger bots, but will we hear it?"
-986193709330758766,-986193709330758766,Google lança Cloud Functions,Sam Newman - Backends For Frontends,Firebase Test Lab for Android,Optimizing the Performance of Vector Drawables - upday devs,Vision API - Image Content Analysis
-986027724303592548,-986027724303592548,Workplace diversity in Brazil: there's still a long way to go,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,The Genderbread Person v3 | It's Pronounced Metrosexual,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer
-973131232603202326,-973131232603202326,Taco Bell chega ao Brasil no segundo semestre desse ano,Time Pressure: Behavioral Science Considerations for Mobile Marketing,Operator fuses bots with humans to build cyborg shopping experts,Digital is all about the people - Chris Skinner's blog,TECNISA melhora performance de marketing digital com estratégias em parceira com o Google
-969155230116728853,-969155230116728853,Como são escrita as risadas em japonês? - Suki Desu,How to E-Mail a Busy Person & get a Reply - Desk of van Schneider,Modelando APIs REST com Swagger,The Hardest Part About Microservices: Your Data,Xamarin for Everyone
-958925381525830552,-958925381525830552,Dries Buytaert,Google Cloud Datastore gets faster cross-platform API,"Thunder, a Drupal distribution for publishers","Waterwheel, the Drupal SDK Ecosystem",An overview of web service solutions in Drupal 8
-945863510619496974,-945863510619496974,"Chrome 53 Beta: Shadow DOM, PaymentRequest, and Android autoplay",The Joel Test: 12 Steps to Better Code,Browser Trends December 2016: Mobile Overtakes Desktop,New blog from Dries: How should you decouple Drupal?,It's Time to Unlearn Everything You Know About Java Exceptions | Takipi Blog
-927862226557602150,-927862226557602150,Nintendo to Release Mini NES with 30 Pre-Loaded Games in November!,Elasticsearch: CSV exporter for Kibana Discover,Globo G1 lança Bot para o Telegram que te ajuda a estudar para o Enem,Google may unveil Android VR headset at I/O conference,The emerging Darwinian approach to analytics and augmented intelligence
-912681925384819247,-912681925384819247,Learn TypeScript in 30 Minutes,"Finally, CSS In JavaScript! Meet CSSX - Smashing Magazine",12 JavaScript Hacks,O homofóbico dentro de cada um,30 Learning Resources For Mastering Angular 2
-908052164352446106,-908052164352446106,Como testar exceções em Java com o JUnit - Code a Test,Micro Profile JavaEE com Wildfly Swarm,Using behavioral data to improve customer satisfaction,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Google creates new European research group to focus on machine learning
-885886002174762919,-885886002174762919,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",Behold.ai launches artificially intelligent medical software to find abnormalities faster,Curta do Google pode ser o primeiro filme em realidade virtual indicado ao Oscar,These gloves can convert sign language into spoken English,8 things to expect from Google's biggest event of the year
-885453047081832598,-885453047081832598,Blockchain won't kill banks: Bitcoin pioneer,Cognizant Named a Digital Transformation Leader in the Life Science Industry,Bitcoin In The Time Of Negative Interest Rates,The End Of Apps As We Know Them - Inside Intercom,"Forget Wallets, Check out This Serious FinTech Product Built in India: ZestMoney for Instant Credit"
-879594538384021068,-879594538384021068,Live asynchronously.,Bots won't replace apps. Better apps will replace apps.,You're Asking Too Much of Chat Bots. Just Let Them Grow Up,Tutorial: How to build a GraphQL server - Building Apollo,How to build cross-platform mobile apps using nothing more than a JSON markup
